Win: Seifey Gio Mikey Nick Parth
Loss: Josh Dalton Abhi Darian Diep
Win: Seifey Abhi Gio Darian Parth
Loss: Josh Reese Nick Dalton Mikey
Win: Josh Abhi Gio Darian Diep
Loss: Seifey Reese Nick Dalton Mikey
Win: Abhi Seifey Dalton Darian Kyvon
Loss: Reese Josh Nick Mikey Diep
Tie1: Abhi Seifey Darian Bryce Gio
Tie2: Josh Nick Reese Mikey Diep
Win: Seifey Abhi Gio Nick Darian
Loss: Reese Josh Diep Mikey Bryce
Win: Reese Josh Logan Mikey Bryce
Loss: Seifey Parth Darian Abhi Nick
Win: Seifey Cole Parth Nick Abhi
Loss: Josh Reese Bryce Darian Mikey
Win: Seifey Abhi Nick Parth Cole
Loss: Josh Reese Darian Mikey Bryce
Win: Reese Diego Parth Abhi Nick
Loss: Seifey Josh Diep Cole Dalton
Win: Seifey Josh Dalton Cole Diep
Loss: Abhi Reese Nick Parth Diego
Win: Seifey Josh Dalton Diep Cole
Loss: Reese Abhi Nick Parth Diego
